C819  C9 2F     CMP #$2F                        A:2F X:00 Y:00 P:2D SP:FB PPU:  0, 00 CYC:0
C81B  F0 04     BEQ $C821                       A:2F X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C821  EA        NOP                             A:2F X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C822  A9 FF     LDA #$FF                        A:2F X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C824  48        PHA                             A:FF X:00 Y:00 P:AD SP:FB PPU:  0, 00 CYC:0
C825  28        PLP                             A:FF X:00 Y:00 P:AD SP:FA PPU:  0, 00 CYC:0
C826  D0 09     BNE $C831                       A:FF X:00 Y:00 P:EF SP:FB PPU:  0, 00 CYC:0
C828  10 07     BPL $C831                       A:FF X:00 Y:00 P:EF SP:FB PPU:  0, 00 CYC:0
C82A  50 05     BVC $C831                       A:FF X:00 Y:00 P:EF SP:FB PPU:  0, 00 CYC:0
C82C  90 03     BCC $C831                       A:FF X:00 Y:00 P:EF SP:FB PPU:  0, 00 CYC:0
C82E  4C 35 C8  JMP $C835                       A:FF X:00 Y:00 P:EF SP:FB PPU:  0, 00 CYC:0
C835  EA        NOP                             A:FF X:00 Y:00 P:EF SP:FB PPU:  0, 00 CYC:0
C836  A9 04     LDA #$04                        A:FF X:00 Y:00 P:EF SP:FB PPU:  0, 00 CYC:0
C838  48        PHA                             A:04 X:00 Y:00 P:6D SP:FB PPU:  0, 00 CYC:0
C839  28        PLP                             A:04 X:00 Y:00 P:6D SP:FA PPU:  0, 00 CYC:0
C83A  F0 09     BEQ $C845                       A:04 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C83C  30 07     BMI $C845                       A:04 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C83E  70 05     BVS $C845                       A:04 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C840  B0 03     BCS $C845                       A:04 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C842  4C 49 C8  JMP $C849                       A:04 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C849  EA        NOP                             A:04 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C84A  F8        SED                             A:04 X:00 Y:00 P:24 SP:FB PPU:  0, 00 CYC:0
C84B  A9 FF     LDA #$FF                        A:04 X:00 Y:00 P:2C SP:FB PPU:  0, 00 CYC:0
C84D  85 01     STA $01 = 00                    A:FF X:00 Y:00 P:AC SP:FB PPU:  0, 00 CYC:0
C84F  24 01     BIT $01 = 00                    A:FF X:00 Y:00 P:AC SP:FB PPU:  0, 00 CYC:0
C851  18        CLC                             A:FF X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C852  A9 00     LDA #$00                        A:FF X:00 Y:00 P:EC SP:FB PPU:  0, 00 CYC:0
C854  48        PHA                             A:00 X:00 Y:00 P:6E SP:FB PPU:  0, 00 CYC:0
C855  A9 FF     LDA #$FF                        A:00 X:00 Y:00 P:6E SP:FA PPU:  0, 00 CYC:0
C857  68        PLA                             A:FF X:00 Y:00 P:EC SP:FA PPU:  0, 00 CYC:0
